Sentence,Category (Binary)
The 27-year-old boxer from Haryana is now fully fit and eager to fight.,0-Pure
"Speaking to IANS, Neeraj said that a boxing match between him and Amir should be planned since sports activities are resuming ""slowly"" after the Covid-19 pandemic-forced lockdown",0-Pure
": Philippine boxing champion Manny Pacquiao will face former two-weight UFC champion Conor McGregor in the ring next year, and part of proceeds from the fight will go to coronavirus victims in his country, his office said on Saturday.",0-Pure
"Both fighters are ""getting ready for this one epic last boxing fight,"" said Jayke Joson, special assistant to Pacquiao, who is also a Philippine senator.",0-Pure
"Joson's statement followed a tweet by Irishman McGregor in which he said that he would be ""boxing Pacquiao next in the Middle East"".",0-Pure
"""We don't deny it,"" Joson said of the former UFC featherweight and lightweight champ's tweet.",0-Pure
"Alan Minter, a British boxing great who followed up a bronze medal at the Olympics by becoming a world champion in the middleweight division in 1980, has died.",0-Pure
"The British Boxing Board of Control confirmed Minter's death on Thursday, without giving more details.",0-Pure
He had been battling cancer.,0-Pure
"Minter won bronze in the light-middleweight category at the Munich Olympics in 1972 and immediately turned professional, capturing British and European titles at middleweight within five years.",0-Pure
"Ethiopian-born Dutch runner Sifan Hassan smashed Paula Ratcliffe's long-standing European record for the women's 10,000m on Saturday.",0-Pure
"y. Hassan, who won double gold in the 1,500m and 10,000m at last year's world championships in Doha, timed 29min 36:67sec after 25 laps in rainy conditions at Hengelo.",0-Pure
Olympic champion Abhinav Bindra says the thrill -- the biggest of his life -- lasted merely two seconds after his gold at Beijing Games where relief was the first and only emotion he felt despite scripting history.,0-Pure
A web series titled 'The Finish Line' has been conceptualised to relive eight defining moments of Indian sports through the athletes themselves.,0-Pure
And Bindra was the first guest to feature on the show hosted by ace squash player Saurav Ghosal.,0-Pure
"With care and caution, Indian shooters could start training together for the Tokyo Olympics, feels the country's biggest achiever in the sport, Abhinav Bindra.",0-Pure
"Earlier this year, the 2020 Olympics was rescheduled to next summer owing to the COVID-19 pandemic.",0-Pure
"But the sporting extravaganza is only ""around the corner"" for Bindra, who has always felt that succeeding in these Games requires years of planning, dedication and practice.",0-Pure
"""I think it is great to see that effort is being made to resume activities. With the Olympic Games in Tokyo around the corner, it would be lovely to have our athletes train in the best way possible,"" Bindra told PTI in an interview.",0-Pure
"Commonwealth and Asian Games medallist, shooter Ravi Kumar’s hopes of making an early comeback to the competitive arena from his two-year doping ban has received a jolt after the appeal panel of the National Anti-Doping Agency (NADA) dismissed the marksman’s plea to reduce his ineligibility period on compassionate grounds.",0-Pure
"NADA’s Anti-Doping Appeal Panel (ADAP) has rejected Ravi’s defence that he inadvertently consumed the banned drug propranolol — a beta blocker — for treating a bout of migraine and has upheld his suspension period, effective December 5, 2019, when he was originally sanctioned for his first-time doping offence.",0-Pure
"Two panel hearings were held in Ravi’s matter on August 27 and 31, and the verdict was pronounced last week.",0-Pure
He was tested during the Kumar Surendra Nath Memorial meet in May-June last year.,0-Pure
Sunday night promises to be a memorable night for the WWE fans as current champion Drew McIntyre will be taking on Randy Orton in the grand finale.,1-Septic
"Ahead of the keenly-awaited clash, Drew spoke to TOI on facing Randy, how he is different from his previous opponent - Brock Lesnar and more.",0-Pure
"World Championships' silver-medallist wrestler Deepak Punia, who tested positive for Covid-19 upon his arrival at the National Camp in Sonepat, has been discharged from the hospital and advised home quarantine.",0-Pure
"Besides the Olympic-bound Punia (86kg), the other two wrestlers who tested positive for the virus were Navin (65kg) and Krishan (125kg).",0-Pure
India's top woman wrestler Vinesh Phogat on Friday said she has tested positive for COVID-19 but is asymptomatic.,0-Pure
"Selected for this year's Khel Ratna award, the Asian and Commonwealth Games gold-medallist, had been training at her village in Sonepat with coach Om Prakash.",0-Pure
"""Yes, I have tested positive for COVID-19 when my sample was taken in Sonepat before the dress rehearsal for the awards ceremony,"" Vinesh told PTI.",0-Pure
"""I will recover soon, God willing. I am in isolation at home. I have not shown any symptoms till now,"" she added, appearing cheerful.",0-Pure
"The 26-year-old, who is the only Indian woman wrestler to have qualified for the Tokyo Olympics, will skip Saturday's virtual ceremony for the National Sports Awards distribution.",0-Pure
She is one among five athletes chosen for the country's highest sporting honour this year.,0-Pure
"Ignored for the Arjuna award, Olympic bronze medallist wrestler Sakshi Malik took to social media to express her disappointment.",0-Pure
"Malik, already a recipient of 'Khel Ratna' - country's highest sporting honour - had applied for Arjuna but her case was rejected by the Sports Ministry after the awards committee left it to minister's discretion.",0-Pure
Weightlifter Mira Bai Chanu's application was also rejected as she has also received the 'Khel Ratna' in the past.,0-Pure
Grappler Vinesh Phogat on Saturday said that she is extremely honoured to be named as one of the five Rajiv Gandhi Khel Ratna recipients this year,0-Pure
"Apart from Vinesh, Mariyappan T. (Para-Athletics), Rohit Sharma (Cricket), Manika Batra (Table Tennis) and Rani Rampal (Hockey) will be conferred with the Rajiv Gandhi Khel Ratna Award this year.",0-Pure
Star Indian wrestler Bajrang Punia feels that the start of the Indian Premier League (IPL) will bring positivity among all the sports disciplines worldwide.,0-Pure
He said that if UAE manages to host the lucrative league without any hassle then other sports can also think of resuming events.,0-Pure
"""Safety of everybody is very important. I am of the opinion that the IPL is starting in UAE and if it gets started and finished without any bad news of coronavirus, then I think other sports organisers can also plan on holding the events (with all precautions) in future,"" Bajrang told IANS.",0-Pure
Police personnel across the country have been at the forefront of the Covid-19 containment efforts.,0-Pure
"They had ensured effective implementation of the lockdown, and continue to oversee the adherance to safety protocols including social distancing and mask use.",0-Pure
"During the course of their duty, thousands of police personnel seem to have caught the infection.",0-Pure
"Over 76,000 police personnel across the country had tested positive for Covid-19 infection till August 21, statistics from a publication of the Bureau Of Police Research And Development (BPR&D) show.",0-Pure
"Only 19% of the 947 beds at city’s Covid-19 dedicated hospitals are currently occupied by patients, according to the data provided by AIIMS-Patna and NMCH.",0-Pure
"Of the total patients at these two health facilities, 45% are in severe category, 39.6% in moderate category and 15.4% have mild infection.",0-Pure
"With the decline in Covid positivity rate to nearly 0.7% till Thursday and the number of positive patients requiring tertiary care, the bed occupancy at Covid-dedicated hospitals continues to remain low for the last 20-25 days.",0-Pure
"Dr Sanjeev Kumar, nodal officer for Covid-19 at AIIMS-Patna, said the bed occupancy at the hospital has dipped consistently over the last one month due to decline in overall positivity rate.",0-Pure
AIIMS-Patna is the second among the AIIMS institutes across the country in providing medical help to the maximum number of Covid-19 patients.,0-Pure
"“The maximum about 5,000 Covid-19 patients have been treated at the Jhajjar unit of AIIMS-Delhi and we have treated the second highest number of cases among all the AIIMS institutes in the country,” AIIMS-P Covid-19 nodal incharge Dr Sanjeev Kumar said.",0-Pure
Nashik city and rural police are the worst hit by Covid-19 among the force in north Maharashtra.,0-Pure
A total of 285 personnel have tested positive and 72 are currently being treated in the city while five have succumbed to the infection.,0-Pure
"“In Nashik rural, 291 have tested positive so far, 30 are being treated and six have died. Nashik city and rural combined have reported 576 Covid cases while 11 have succumbed to the infection and 102 under treatment,” said senior officers on Friday.",0-Pure
Nine more hospitals – eight private and one government — have started admitting Covid patients in the wake of growing number of cases in the city.,0-Pure
"With this, the city has added 223 beds with oxygen support, 124 ICU beds and 30 beds with ventilators for Covid treatment in seven days.",0-Pure
"Now, 32 private, corporate-run and government-run hospitals are providing Covid treatment here.",0-Pure
The health department on Friday directed private hosptials who are not providing Covid treatment to start admitting such patients for treatment.,0-Pure
"Principal secretary (health) Akhil Arora issued directions to private hospitals in Jaipur, Jodhpur, Kota, Udaipur, Ajmer and Bikaner to provide Covid treatment on 30% of the total capacity of their beds.",0-Pure
"Private hospitals with 80 or more beds in Jaipur, Jodhpur, Kota and Udaipur and hospitals with 60 or more beds in Ajmer and Bikaner divisions have been directed to provide Covid treatment on 30% of the beds by allocating a floor, a wing or ward on the rates already fixed by the state government.",0-Pure
"In the 24 hours ending 5pm on Friday, Gujarat recorded 1,442 new Covid-19 cases, taking the total number of cases in the state so far to 1.3 lakh.",0-Pure
"This is the highest one-day tally of new cases in the state so far, and comes on the seventh consecutive day of 1,400-plus cases.",0-Pure
"Gujarat has reported 33,956 cases in the first 25 days of September, which is 26% of its total number of cases.",0-Pure
"The new cases included 300 from Surat, 182 from Ahmedabad, 148 from Rajkot, 134 from Vadodara, and 114 from Jamnagar.",0-Pure
"AAP have demanded that 5,000 samples be tested for Covid-19 on a daily basis in Goa to enable timely tracing and isolation of patients.",0-Pure
"“PM Narendra Modi himself has asked state governments to increase testing and tracing. If he can understand it, why does chief minister Pramod Sawant have issues with it? Why can’t he ask health minister Vishwajit Rane to ramp up testing?” Rahul Mhambre, interim convener of AAP-Goa said.",0-Pure
"Haryana on Friday registered 2,024 Covid-19 positive cases and 18 news deaths.",0-Pure
"With this, the total number of Covid-19 positive cases in the state has reached 1,20,578 and the total number of deaths in the state has reached 1,273.",0-Pure
"As far as sampling is concerned, 18,033,27 persons have been tested in the state.",0-Pure
"The state reported 1,457 fresh Covid-19 cases and five official deaths in the past 24 hours, taking the tally to 1,77,355 and toll up to 886 on Saturday.",0-Pure
Two residents of the city admitted at AIIMS-Patna also died on Saturday.,0-Pure
"However, with 1,63,132 recoveries, there were only 13,335 active cases in the state.",0-Pure
The overall positivity rate of Covid-19 infection in Madhya Pradesh crossed 6% with the total Covid-19 positive cases going up to 1.19 lakh.,0-Pure
"A total of 2,311 people tested positive for the viral disease on Saturday, the 17th consecutive day when more than 2,000 people tested positive.",0-Pure
Deputy commissioner Nitesh Patil has said that the district administration has made it mandatory for all the patients visiting private and government hospitals to have their swab samples tested for Covid-19.,0-Pure
"The private hospitals have to collect the swab sample of patients who cannot afford to pay the fees, and send it to KIMS or DIMHANS, and the test will be conducted free-of-cost, he added.",0-Pure
"Speaking while chairing a meeting of private doctors held at his office in Dharwad on Friday, Patil said that poor patients should not be deprived of testing and medical treatment at private hospitals, hence the government has decided to test them free-of-cost.",0-Pure
"More than 1,000 New Yorkers have tested positive for COVID19 in a single day for the first time since June 5 the state has seen a daily number that high.",0-Pure
"The number of positive tests reported daily in the state has been steadily inching up in recent weeks, possibly because more businesses have been reopening and students have been returning to schools and college campuses.",0-Pure
"Governor Andrew Cuomo announced Saturday there were 1,005 positive cases tallied on Friday out of 99,953 tests, for a 1 per cent positive rate.",0-Pure
"From late July through the start of September, the state had an average of around 660 people test positive per day. In the seven-day period that ended Friday, it averaged 817 positive tests per day.",0-Pure
A novel coronavirus positive prisoner of the district jail absconded from the L2 facility here late on Saturday.,0-Pure
The hospital staff came to know of 28-year-old Shashank Bajaj’s disappearance only when the doctor on duty cane on round on Sunday.,0-Pure
"Prior to this, three Covid-19 patients, including an under trial, escaped from the L1 facility at the same medical institution.",0-Pure
Superintendent of police Jai Prakash Yadav has ordered an inquiry while the police have lodged an FIR.,0-Pure
District jail superintendent Anoop Manav Shastri said the prisoner had been shifted to Pilibhit district jail from Badaun jail on September 2.,0-Pure
"He was facing trial in Badaun in four cases registered against him for murder, attempt to murder and under the Gangster Act.",0-Pure
"He used to appear before the court on assigned dates through video-conferencing, he said.",0-Pure
"For the first time in two months, Uttarakhand’s Covid-19 recovery rate crossed the 75% mark on Sunday.",0-Pure
The state was able to achieve the feat after 813 infected people recovered from the virus on the day.,0-Pure
"With this, the number of people who have defeated the virus in the state shot up to 35,462.",0-Pure
"According to the statistics of the health department, the maximum number of patients have recovered from the infection in a week in the last one week.",0-Pure
"Meanwhile, Uttarakhand reported 764 fresh cases of novel coronavirus on Sunday, taking the state’s tally to 47,045.",0-Pure
Among those found infected on the day was an official from the district administration.,0-Pure
": A Madurai-based couple, who have walked around 800km across the state for the past 35 days spreading awareness messages on Covid-19, were felicitated by city-based ‘Ulaga Podhumarai Thirukkural Sevai Maiyyam’ at Perur Adheenam on Sunday.",0-Pure
The forum’s president C K Murugan said they honoured the couple with a certificate and a cash award.,0-Pure
"After walking from Madurai to Trichy and Viluppuram, they reached Coimbatore on Sunday, travelling through Salem, Erode and Avinashi, completing their on-foot trip.",0-Pure
"The couple, M Karuppiah, 50, and K Chitra, 52, said they started on August 24 and visited several villages, town panchayats and city corporations on their route while distributing pamphlets with information on Covid-19 and its precautions. “We prepared a pamphlet with information on Covid-19. We included information on symptoms, treatment, and prevention methods,” said Karuppiah.",0-Pure
The number of Covid positives in the state secretariat reached 59 on Monday when three employees were found corona positive.,0-Pure
"The employees were of the home, technical education and planning, economics & statistics departments.",0-Pure
A decline of over 20.5% has been recorded in the number of active cases in Uttar Pradesh in the past 10 days.,0-Pure
"Against 67,825 active cases on September 18, the number of active infections on Monday was 53,953 – a drop of 13,872 cases.",0-Pure
"“This is a positive sign and an outcome of a steady decline in the number of new cases along with an increase in the number of recovered persons,” said additional chief secretary, health and family welfare, Amit Mohan Prasad.",0-Pure
"The phase-2 human clinical trials of Covishield, developed by Oxford University, commenced in the state on Monday even as the health department invited volunteers to enroll and participate in the trials.",0-Pure
The safety and immunogenicity or the immune response of the vaccine candidate will be studied upon administering shots to healthy volunteers.,0-Pure
"Two centres in the city are among the 17 sites chosen for the trials initiated in the country by Serum Institute of India, which has an agreement with AstraZeneca that has collaborated with Oxford University.",0-Pure
A state health department official confirmed that volunteers were given shots of the vaccine candidate on Monday.,0-Pure
"However, officials did not reveal details on the number of volunteers who were administered the shots.",0-Pure
The state health department started calling for volunteers on September 9 through social media.,0-Pure
"A 42-year-old man, undergoing treatment for Covid-19, committed suicide by jumping from the fourth floor of the Government Medical College and Hospital (GMCH) on Sunday morning.",0-Pure
"According to the GMCH officials, the man had tested positive for the contagion and was undergoing treatment at the super-specialty building, where Covid-19 positive patients with comorbidities and critically ill patients are being treated.",0-Pure
"Begumpura police inspector Sachin Sanap, “We have registered a case of accidental death and have performed inquest panchanama. Statements are being recorded to ascertain facts in this case.”",0-Pure
"During the preliminary probe, it was found that the man plunged to death from the window of ward number 34 — on the fourth floor of the building.",0-Pure
"He was admitted to GMCH on September 21. However, after his condition deteriorated, he was shifted to ICU on September 25.",0-Pure
"Despite the raging coronavirus pandemic, people have been turning a blind eye to the health risk that Covid-19 poses.",1-Septic
"While the authorities were keeping penalties to a minimum in the past three months and emphasising more on awareness, they have now started cracking the whip on violators.",1-Septic
This is evident from the number of prosecutions.,0-Pure
"While around 25,000 individuals were fined for not wearing masks, violating social distancing norms and spitting in public from mid-June to September 17, in the past one week since enforcement was intensified, not only did officials fine 23,922 people from September 20 to 27, but also lodged FIRs in five cases on September 27.",0-Pure
Serum Institute of India will produce up to an additional 100 million COVID-19 vaccine doses for India and low and middle-income countries in 2021.,0-Pure
"The company made this announcement taking forward the collaboration between SII, Gavi, Vaccine Alliance and Bill & Melinda Gates Foundation.",0-Pure
The expansion follows August's announcement of up to 100 million doses to be delivered by the collaboration and bringing the total now to be delivered to up to 200 million doses of vaccines.,0-Pure
"Serum Institute, the world’s largest vaccine producer, will manufacture an additional 100 million doses of Covid-19 vaccines, on the back of a further $150 million at-risk funding under its collaboration with Gavi (Global Alliance for Vaccines and Immunisation) and the Gates Foundation, reports Rupali Mukherjee.",0-Pure
"This takes the total to up to 200 million doses to be rolled out by 2021, under the partnership, of which “at least half or 100 million doses are committed to India”, sources told TOI.",0-Pure
"The vaccine is expected to be priced around Rs 225-250 per dose for low- and middle-income countries (LMICs), including India.",0-Pure
"Concerned by the rise of Covid-19 cases in jails, Director General of Prisons, Anand Kumar has directed all superintendents of police and district magistrates to ensure aggressive testing, isolation and contact tracing and moving inmates lodged in temporary jails to main jails only after following prescribed protocol.",0-Pure
"In some cases, prisoners were shifted from temporary to main jail without following protocol because of which infection spread in main jails, Kumar said.",0-Pure
"The lapse defeated the purpose of temporary jails acting as a buffer to prevent infection from spreading, resulting in increase in cases in main jails, the DG added.",0-Pure
"In all probability, Uttar Pradesh will be achieving the one crore Covid-19 tests mark on Wednesday.",1-Septic
"With more than 1.6 lakh tests undertaken in the past 24 hours, the total number of Covid-19 tests conducted in the state reached 99.37 lakh on Tuesday.",0-Pure
"With an average of about 1.5 lakh tests in a day, UP is poised to cross the one crore mark on Wednesdy, health officials said.",0-Pure
"“UP government’s commitment to testing has helped in keeping the count of cases and deaths lower than many other states,” said additional chief secretary, health, Amit Mohan Prasad.",0-Pure
He added that seven new level two Covid-19 care facilities will get operational over the week.,0-Pure
"In the Insurance Medical Services (IMS) fraud case, Anti Corruption Bureau (ACB) officers have written to the government seeking permission to file a petition in court seeking to attach properties of prime accused in Disproportionate Assets (DA) and misappropriation of government money cases.",1-Septic
"So far, the government has granted permission against three accused for Rs 173 crore worth properties.",0-Pure
"However, ACB is yet to get permission from the government to attach properties of former IMS director Devika Rani.",0-Pure
"In response to letters of ACB director-general pertaining to the IMS fraud accused since August first week, the government has granted permission to ACB to file an application in the ACB court for attachment of Rs 173 crore worth properties belonging to three of the accused in the IMS scam.",1-Septic
"Citing letters from ACB director-general between 2019 and 2020 to the government in relation to the assets amassed by IMS scam accused, labour employment training & factories department has issued three separate orders permitting the agency to file an application in ACB special court for attachment of Rs 162.12 crore properties belonging to Srihari Babu, proprietor of Omni Medi company, his family members, including wife Sujatha and two daughters, co-accused Krupasagar Reddy and the firms represented by them, Rs 8.55 crore worth properties belonging to Dr K Padma, joint director, IMS, her family members and suspected benamis, Rs 2.7 crore worth properties belonging to K Nagalakshmi, pharmacist, ESI Hospital, and her family members.",1-Septic
"Nagpur University has planned to start final year examinations with BA course from October 1, while engineering and other faculties papers would commence from October 5.",0-Pure
"The decision was taken in view of large number of subjects in arts faculty which would continue till October 18, the last day of exams.",0-Pure
The timetable would be posted on the university website in a couple of days.,1-Septic
We have decided to conduct papers where students strength is less.,0-Pure
"Therefore, some subjects in BA such as statistics are scheduled from October 1.",0-Pure
"The idea is if any technical snag takes place, fewer students will be affected.",1-Septic
"We would also come to know the kind of problems we would be facing, Board of Examinations and Evaluation (BOEE) director Prafulla Sable told TOI.",0-Pure
"Since this will be the first time both examining body and examinees are undergoing online multiple choice questions (MCQ) paper in NU for regular courses, the administration is treading cautiously.",0-Pure
"We have kept papers of subjects where over 5,000 students would appear, in later phase from October 5, so we are in a better position to tackle problems, the director said.",0-Pure
"On Wednesday, NU conducted the demonstration of its software for teachers who will set the question paper and also for moderators, who will check those.",1-Septic
"The software is developed by Promarc, which is already working with NU for its examination and results.",1-Septic
It was attended by vice-chancellor Subhash Chaudhari and chairmen of various Boards of Studies (BOS).,1-Septic
"On Thursday, NU has scheduled online meetings for all its BOS and moderation committee members for familiarising them with software.",0-Pure
Promarc representatives would give demonstrations.,1-Septic
The participants would be trained on how to upload their questions directly into software and give options for answers.,0-Pure
"Moreover, they will also be taught on how to upload questions on mathematics equations, accounts and other subjects.",0-Pure
"They can log in only through their verified mobile numbers and OTP, Sable said, adding that entire data would be in encrypted form and nobody can read it.",0-Pure
"On Friday and Saturday, NU has organized meetings with the principals of colleges in Bhandara, Gondia, and Wardha, besides Nagpur city and rural areas, for training them in online MCQ exams.",1-Septic
"Promarc has been entrusted with the task of developing students app for exams, which will be launched by next week.",1-Septic
The state governments decision to change the colour of school uniform has sparked a political debate.,0-Pure
The move is likely to put financial burden on parents of 77 lakh students as they have to buy new uniform.,0-Pure
"In a review meeting on Tuesday, education minister Govind Singh Dotasra decided that colour of school uniform will be changed soon.",1-Septic
Officials have been asked to take necessary steps in this direction.,1-Septic
The education department seems to have got its priorities wrong.,1-Septic
"At a time when government school students are worried about missing classes because of lack of infrastructure for online education, even a discussion on the colour of uniforms is untimely and inappropriate.",0-Pure
"The government must rather focus on strengthening infrastructure, enhancing the quality of education and improving the literacy rate of girls, which is the worst-ever in the country as per the recent NSO report.Meanwhile, former education minister Vasudev Devnani alleged that the Congress government is politicizing education.",0-Pure
"Last time, uniform was changed in 2017 during the time of Vasundhara Rajes BJP government.",0-Pure
"It was done after 40 years in the state, but the Khaki colour of the uniform raised objections from opposition for implementing RSS pattern in education.",0-Pure
This move by Congress government is seen as reversing that effect.,1-Septic
"Devnani said, Just to please their high command, ministers in Congress party in Rajasthan are taking political decisions amidst pandemic.",1-Septic
"When the uniforms colour was changed only three years back, what is the point of changing it again.",0-Pure
"During our time we had invited suggestions from teachers, students and parents for changing the colour.",1-Septic
"It was a rational decision, but this move by the state government is a political one.",1-Septic
Parents have to purchase their wards uniform at the time when most of the parents are already suffering from economic losses in pandemic.,0-Pure
"School education expert K B Kothari said that politicizing the education is different but if the government wants to change the uniforms, they must do to rationally and scientific approach.",0-Pure
A committee should be formed for deciding the uniforms looking at the climatic condition of the state.,0-Pure
"Opinions of parents and teachers must also be taken into consideration, said Kotahri.",0-Pure
"Vipin Sharma, vice-president, Rajasthan Primary and Secondary Teachers Union said that government must provide the uniforms to students.",0-Pure
"Sometime, we arrange for philanthropists to donate uniforms but that is given only to 40% students and other have to purchase.",1-Septic
"If government provides for uniforms then it will be helpful for the parents, said Sharma.",0-Pure
"Last year, Congress government changed the colours of the bicycle distributed amongst students from orange to black.",0-Pure
Cycles were distributed in orange colour by BJP government which was changed.,0-Pure
"Rajasthan has third highest rate of unemployment in the country after Haryana and Tripura in August, according to CMIE data.",0-Pure
"While Haryana topped the states with 33.5% followed by Tripura at 27.5%, Rajasthans rate continued to remain high at 17.5% compared to 17.7% in April when all economic activities ground to a halt.",1-Septic
"But even before the lockdown was imposed, the states joblessness rate remained at elevated rates indicating that the all was not well in the states economy.",1-Septic
"But analysing the data in the past couple of months, experts in the field pointed that one of the reasons for the high joblessness in the impact on the pandemic on tourism and hospitality sector.",1-Septic
"Rajasthan, Goa, Himachal Pradesh and Uttarakhand which have high unemployment rates are all dependent on tourism and hospitality.",0-Pure
"Unless the tourism sector recovers, large-scale job creation will not take place, said N K Jain, president of Employers Association of Rajasthan.",0-Pure
The fact that tourism contributes 23% to the states GDP pretty much explains how the state is overly dependent on the sector and why it is necessary for the state diversify its economy and de-risk it.,1-Septic
"However, industry feels that economic activity in the state went into a slump couple of years ago and the revival has remained elusive since then.",1-Septic
They attribute to partly to the general slowdown in the country which was aggravated by the states own problems.,0-Pure
"After tourism, real estate has a big impact on job creation and the sectors underperformance contributed to the joblessness in a major way.",0-Pure
"Digvijay Dhabriya, which employs about 600 people in his PVC and UPVC manufacturing unit, said, If the real estate industry does not do well, it will have a huge bearing on a host of other industries.",0-Pure
"If it does well, it will not create job opportunities in the sector itself but also in the industries that depend on it.",1-Septic
"But sadly, the market has been in limbo for a long time.",1-Septic
The high unemployment figures may have the imprint of Covid-19 pandemic but the crisis was prevalent since a couple of years ago.,1-Septic
"However, labour secretary Neeraj K Pawan, said that the figures indicate that the unemployment rate has not declined during the lockdown.",0-Pure
The data shows that unemployment rate in Rajasthan has not shot up during lockdown period like it did in other states.,1-Septic
"
Dhabriya said that after the new Congress government came to power, it got saddled with its own problems and there was much less scope to tide over the general slowdown the country was undergoing.",0-Pure
India on Tuesday inked a loan pact of $500 million with Asian Development Bank (ADB) to fund the ambitious high speed Delhi-Ghaziabad-Meerut RRTS Corridor.,1-Septic
It is the first tranche of a $1 billion loan approved by ADB for the 82-km railway network.,0-Pure
"The signatories to the loan agreement were Sameer Kumar Khare, additional secretary (Fund Bank and ADB) at the Department of Economic Affairs in the Ministry of Finance and Kenichi Yokoyama, country director of ADBs India Resident Mission.",0-Pure
The RRTS which will reduce travel time between Delhi and Meerut to mere 50-minute is set to be operational by 2025.,0-Pure
The corridor has 24 stations including two depots at Duhai and Modipuram.,0-Pure
"The corridor will originate from Sarai Kale Khan in Delhi, and Modipuram in Meerut will be the last stop.",0-Pure
"In the first phase, the Meerut-Ghaziabad-Delhi corridor will be completed with a cost of Rs 30,274 crore by 2025.",0-Pure
"NCRTC, the implementing agency of RRTS, is a joint venture of the Centre (50%) and state governments of Haryana (12.5%), NCT Delhi (12.5%), Uttar Pradesh (12.5%) and Rajasthan (12.5%).",0-Pure
"Spokesperson of NCRTC, Sudhir Sharma, said, The proceeds of this tranche of US $500 million (Rs 3,750 crore) loan will be used for financing civil works, tracks, station buildings, multi-modal hubs, maintenance depots, and traction and power supply of the Delhi-Ghaziabad-Meerut RRTS Corridor.The RRTS is first of the three prioritized corridors planned for implementation in the country.",0-Pure
The other two are Delhi-Gurugram-Alwar and Delhi-Panipat.,0-Pure
" After receiving a report from Lucknow that Bhokaredi village, that gets electricity from Bhopa feeder line, accounts for 94% line loss in the district, a massive checking operation was conducted there on Tuesday by power department officials.",1-Septic
It was found that 83 households were pilfering power.,1-Septic
Cases of power theft were registered against all the erring households.,0-Pure
"According to sources, a power department team accompanied by heavy police force went checking house-to-house at Bhokaredi village.",1-Septic
Officials found 65 households were stealing electricity directly from the power line while 18 households were found using power after their connection was disconnected for for not paying electricity bills.,0-Pure
As many as 83 households were booked for stealing electricity from the main power line.,0-Pure
Further action is being taken.,0-Pure
"""The power department is also facing 40% line loss in city areas like Rampuram, Khalapar, Shamli stand, Numaish camp and Minakshi Chowk, said IP Singh, city SDO.",0-Pure
"South Western Railway (SWR) is resuming the services of seven pairs of trains, all of which are fully reserved.",1-Septic
Stoppages shall be restricted in view of suggestions by the state government.,1-Septic
"Yatender Kumar, sub-divisional officer (SDO) of Bhopa power station, said, ""Bhokaredi village is listed as most line loss area"".",0-Pure
"Train No.06539 KSR Bengaluru“Mysuru Special Express"" will depart KSR Bengaluru at 10:30 hrs and arrive at Mysuru at 13:30 hrs daily (except Sunday) from September 12 till further advise.",1-Septic
"In the return direction, train No.06540 Mysuru“KSR Bengaluru Special Express will depart Mysuru at 14:30 hrs and arrive at KSR Bengaluru at 17:10 hrs daily (except Sunday) from September 12 till further advice.",1-Septic
"Train No.06587 Yeshwantpur“Bikaner Bi-Weekly Special Express"" will depart Yeshwantpur at 05:00 hrs on every Sunday and Friday from September 13 till further advise, and it arrives at Bikaner at 06:50 hrs on Tuesday and Sunday.",0-Pure
"In the return direction, train No.06588 Bikaner“Yeshwantpur Bi-Weekly Special Express"" will depart Bikaner at 22:15 hrs on every Tuesday and Sunday from September 15 till further advise, and arrive at Yeshwantpur at 03:15 hrs on Friday and Wednesday.",0-Pure
Train No.06535 Mysuru“Solapur Daily Special Express will depart Mysuru at 15:45 hrs daily from September 12 till further advise and arrive at Solapur at 12:40 hrs on the next day.,0-Pure
"In the return direction, train No.06536 Solapur“Mysuru Daily Special Express"" will depart Solapur at 14:10 hrs daily from September 13 till further advise and arrive at Mysuru at 11:00 hrs the next day.",1-Septic
"Train No.06527 KSR Bengaluru“New Delhi Daily Special Express"" will depart KSR Bengaluru at 19:00 hrs daily from September 12 till further advise and arrive at New Delhi at 10:30 hrs two days later.",1-Septic
"In the return direction, train No.06528 New Delhi“KSR Bengaluru Daily Special Express"" will depart New Delhi at 21:15 hrs daily from September 14 till further advise and arrive at KSR Bengaluru at 14:00 hrs two days later.",1-Septic
"Train No.02591 Gorakhpur“Yeshwantpur Bi“Weekly Superfast Special Express"" will depart Gorakhpur at 06:35 hrs on every Saturday and Monday from September 12 till further advise and arrive at Yeshwantpur at 04:45 hrs Monday and Wednesday.",1-Septic
"In the return direction, train No.02592 Yeshwantpur“Gorakhpur Bi“Weekly Superfast Special Express"" will depart Yeshwantpur at 17:20 hrs on every Monday and Thursday from September 14 till further advise and arrive at Gorakhpur at 15:05 hrs.",1-Septic
"
Train No.02975 Mysuru“Jaipur Bi“Weekly Superfast Special Express will depart Mysuru at 10:40 hrs on every Thursday and Saturday from September 17 till further advise and arrive at Jaipur at 06:15 hrs on Saturday and Wednesday.",1-Septic
"In the return direction, train No.02976 Jaipur“Mysuru Bi“Weekly Superfast Special Express"" will depart Jaipur at 19:35 hrs on Monday and Wednesday from September 14 till further advise and arrive at Mysuru at 15:30 hrs on Wednesday and Friday.",1-Septic
"
Train No.02509 Bengaluru Cantonment“Guwahati Tri“Weekly Special Express"" will depart Bengaluru Cantonment at 23:40 hrs on Wednesday, Thursday and Friday from September 16 till further advise and arrive at Guwahati at 06:00 hrs on Saturday, Sunday and Monday.",1-Septic
